id,CCTV,피시방,버스정류장,공원,교차로,교회,스쿨존,놀이터,옐로카펫,위험지역,학원,target
12973,0,0,0,1,0,0,1,0,0,0,0,0
20831,0,0,0,0,0,0,0,0,0,0,0,0
12972,0,0,0,0,0,0,0,0,0,0,0,0
20830,0,0,0,0,0,0,0,0,0,0,0,0
12947,0,0,0,0,0,0,0,0,0,0,0,0
20829,0,0,0,0,0,0,0,0,0,0,0,0
12946,0,0,0,0,0,0,0,0,0,0,0,0
20828,0,0,0,0,0,0,0,0,0,0,0,0
12945,0,0,0,0,0,0,0,0,0,0,0,0
12944,0,0,0,0,0,0,0,0,0,0,0,0
12951,0,0,1,0,0,0,0,0,0,0,0,0
12950,0,0,0,0,0,0,0,0,0,0,0,0
12949,0,0,0,0,0,0,0,0,0,0,0,0
12948,0,0,0,0,0,0,0,0,0,0,0,0
12955,0,0,0,0,0,0,0,0,0,0,0,0
12954,0,0,0,0,0,0,0,0,0,0,0,0
12953,0,0,0,0,0,0,0,0,0,0,0,0
12952,0,0,0,0,0,0,0,0,0,0,0,0
12959,0,0,0,0,0,0,0,0,0,0,0,0
12958,0,0,0,0,0,0,0,0,0,0,0,0
12957,0,0,0,0,0,0,0,0,0,0,0,0
20815,0,0,0,0,0,0,0,0,0,0,0,0
12956,0,0,0,0,0,0,0,0,0,0,0,0
20814,0,0,0,0,0,0,0,0,0,0,0,0
4755,0,0,0,0,0,0,0,0,0,0,0,0
4754,0,0,0,0,0,0,0,0,0,0,0,0
21171,0,0,0,0,0,0,0,0,0,0,0,0
4753,0,0,0,0,0,0,0,0,0,0,0,0
21170,0,0,0,0,0,0,0,0,0,0,0,0
4752,0,0,0,0,0,0,0,0,0,0,0,0
21169,0,0,0,0,0,0,0,0,0,0,0,0
21168,0,0,0,0,0,0,0,0,0,0,0,0
21175,0,0,0,0,0,0,0,0,0,0,0,0
21174,0,0,0,0,0,0,0,0,0,0,0,0
21173,0,0,0,0,0,0,0,0,0,0,0,0
21172,0,0,0,0,0,0,0,0,0,0,0,0
21179,0,0,0,0,0,0,0,0,0,0,0,0
21178,0,0,0,0,0,0,0,0,0,0,0,0
12943,0,0,0,0,0,0,0,0,0,0,0,0
21177,0,0,0,0,0,0,0,0,0,0,0,0
12942,0,0,0,0,0,0,0,0,0,0,0,0
21176,0,0,0,0,0,0,0,0,0,0,0,0
12941,0,0,0,0,0,0,0,0,0,0,0,0
21183,0,0,0,0,0,0,0,0,0,0,0,0
12940,0,0,0,0,0,0,0,0,0,0,0,0
21182,0,0,0,0,0,0,0,0,0,0,0,0
21181,0,0,0,1,0,0,0,0,0,0,0,0
4739,0,0,0,0,0,0,0,0,0,0,0,0
21180,0,0,6,0,0,0,0,0,0,0,0,0
4738,0,0,0,0,0,0,0,0,0,0,0,0
4737,0,0,0,0,0,0,0,0,0,0,0,0
4736,0,0,0,0,0,0,0,0,0,0,0,0
4743,0,0,3,0,0,0,0,0,0,0,0,0
4742,0,0,0,0,0,0,0,0,0,0,0,0
21159,0,0,0,0,0,0,0,0,0,0,0,0
4741,0,0,0,0,0,0,0,0,0,0,0,0
4740,0,0,0,0,0,0,0,0,0,0,0,0
4747,0,0,2,0,0,0,0,0,0,0,0,0
4746,0,0,7,0,0,0,0,0,0,0,0,0
21163,0,0,0,0,0,0,0,0,0,0,0,0
4745,0,0,4,0,0,0,0,0,0,0,0,0
21162,0,0,0,0,0,0,0,0,0,0,0,0
4744,0,0,0,0,0,0,0,0,0,0,0,0
21161,0,0,0,0,0,0,0,0,0,0,0,0
21160,0,0,0,0,0,0,0,0,0,0,0,0
21167,0,0,0,0,0,0,0,0,0,0,0,0
21166,0,0,0,0,0,0,0,0,0,0,0,0
4748,0,0,1,0,0,0,0,0,0,0,0,0
21165,0,0,0,0,0,0,0,0,0,0,0,0
21164,0,0,0,0,0,0,0,0,0,0,0,0
12995,0,0,7,1,0,1,2,0,0,0,0,0
12994,0,0,9,0,0,0,0,1,0,1,1,0
12993,0,0,0,0,0,0,0,0,0,0,0,0
12992,0,0,6,0,0,0,0,3,0,0,0,0
12999,0,3,12,0,1,0,0,0,0,2,2,0
12998,0,0,5,1,1,0,0,0,0,3,1,0
12997,0,0,2,0,0,1,2,1,0,0,1,0
