id,CCTV,피시방,버스정류장,공원,교차로,교회,스쿨존,놀이터,옐로카펫,위험지역,학원,target,경도,위도
15544,0,3,13,0,0,2,2,2,0,0,3,1,129.0855129,35.20384085
15548,1,0,1,0,0,0,1,4,1,0,6,1,129.0855129,35.19184085
15523,0,0,16,2,0,1,0,0,0,0,0,1,129.0855129,35.26684085
15526,0,2,9,1,0,0,0,1,0,0,4,1,129.0855129,35.25784085
15531,0,1,2,0,0,0,1,1,0,0,12,1,129.0855129,35.24284085
15535,1,5,10,0,0,0,0,0,0,1,11,1,129.0855129,35.23084085
15532,0,0,6,0,0,1,0,0,0,0,7,1,129.0855129,35.23984085
15571,0,0,8,0,0,0,0,2,0,0,5,1,129.0855129,35.12284085
15567,0,1,12,0,1,1,0,0,0,3,8,1,129.0855129,35.13484085
15566,0,0,6,0,0,0,1,1,0,0,5,1,129.0855129,35.13784085
15394,0,0,8,0,0,0,0,0,0,0,6,1,129.0819129,35.13784085
15401,0,0,6,0,0,1,1,0,0,0,6,1,129.0819129,35.11684085
15377,0,5,5,0,1,1,0,0,0,1,3,1,129.0819129,35.18884085
15365,0,2,9,0,1,1,0,0,0,0,9,1,129.0819129,35.22484085
15364,0,0,3,0,0,0,2,3,1,0,9,1,129.0819129,35.22784085
15371,0,2,12,0,1,0,2,1,1,3,4,1,129.0819129,35.20684085
15370,0,0,9,0,0,1,0,1,0,0,17,1,129.0819129,35.20984085
15369,0,1,5,0,0,1,0,0,0,0,16,1,129.0819129,35.21284085
15375,1,2,2,1,1,0,0,3,0,0,4,1,129.0819129,35.19484085
15372,0,4,13,0,0,0,0,0,0,1,5,1,129.0819129,35.20384085
15865,0,0,5,0,0,1,3,4,1,0,4,1,129.0927129,35.27284085
15739,0,4,9,0,0,0,0,1,0,0,11,1,129.0891129,35.13484085
15738,0,1,6,0,0,2,0,0,0,0,12,1,129.0891129,35.13784085
15742,0,1,8,0,0,1,0,0,0,0,4,1,129.0891129,35.12584085
15712,0,0,2,0,0,0,0,1,0,0,5,1,129.0891129,35.21584085
15699,0,1,3,0,0,1,1,1,0,0,15,1,129.0891129,35.25484085
15698,0,1,3,0,0,0,1,1,0,1,7,1,129.0891129,35.25784085
15697,0,0,5,1,0,2,1,1,0,0,7,1,129.0891129,35.26084085
15702,0,2,6,1,0,0,0,2,0,0,12,1,129.0891129,35.24584085
15701,0,1,5,0,0,1,0,1,0,0,20,1,129.0891129,35.24884085
15707,0,3,5,0,0,0,0,2,0,2,5,1,129.0891129,35.23084085
15706,0,0,4,0,0,1,2,2,0,0,4,1,129.0891129,35.23384085
15705,0,0,7,0,0,0,1,2,0,0,12,1,129.0891129,35.23684085
15704,0,0,8,0,0,0,0,3,0,0,4,1,129.0891129,35.23984085
16083,0,4,6,1,0,0,1,0,0,0,2,1,129.0963129,35.13484085
16065,0,0,2,1,0,1,0,1,0,0,5,1,129.0963129,35.18884085
16070,0,1,12,0,0,0,0,0,0,1,3,1,129.0963129,35.17384085
15911,3,1,11,0,1,2,0,0,0,4,6,1,129.0927129,35.13484085
15893,0,2,2,1,0,1,1,0,0,1,5,1,129.0927129,35.18884085
15892,0,0,0,0,0,0,1,2,1,0,6,1,129.0927129,35.19184085
15877,0,1,3,0,0,0,1,0,0,0,5,1,129.0927129,35.23684085
15881,0,1,3,0,0,1,0,0,0,0,8,1,129.0927129,35.22484085
16256,0,2,4,0,0,0,2,0,0,2,3,1,129.0999129,35.13184085
16255,0,5,3,0,0,0,0,1,0,1,5,1,129.0999129,35.13484085
16254,1,4,6,0,0,1,0,0,0,3,6,1,129.0999129,35.13784085
16235,0,0,8,0,0,0,1,0,0,1,7,1,129.0999129,35.19484085
16233,0,3,7,1,0,0,0,0,0,2,4,1,129.0999129,35.20084085
16232,0,2,9,0,0,0,0,0,0,4,7,1,129.0999129,35.20384085
14515,1,0,7,0,0,0,0,0,0,0,8,1,129.0639129,35.19484085
14514,0,0,4,1,0,0,0,3,0,0,7,1,129.0639129,35.19784085
14513,0,0,8,1,2,1,1,0,0,2,10,1,129.0639129,35.20084085
14522,0,2,7,0,0,1,1,1,0,0,8,1,129.0639129,35.17384085
8008,0,3,7,1,0,5,1,0,0,0,2,1,128.9271129,35.10784085
14526,0,1,14,0,1,0,0,0,0,3,3,1,129.0639129,35.16184085
14357,0,7,7,0,0,0,0,1,0,1,5,1,129.0603129,35.15284085
14356,1,13,8,0,0,0,0,0,0,4,2,1,129.0603129,35.15584085
14362,0,3,11,0,1,1,0,0,0,8,0,1,129.0603129,35.13784085
14343,0,4,9,0,0,0,0,0,0,1,3,1,129.0603129,35.19484085
14342,0,0,8,0,1,0,0,0,0,2,14,1,129.0603129,35.19784085
14341,0,0,10,2,0,0,0,0,0,0,5,1,129.0603129,35.20084085
14727,0,0,9,3,0,0,1,2,0,5,9,1,129.0675129,35.07484085
14728,0,0,3,0,0,0,0,1,0,0,5,1,129.0675129,35.07184085
14706,1,0,4,0,3,0,0,2,0,2,6,1,129.0675129,35.13784085
14688,1,1,7,0,2,1,3,3,0,0,24,1,129.0675129,35.19184085
14694,1,0,3,0,1,1,0,0,0,1,5,1,129.0675129,35.17384085
14699,0,3,11,0,0,1,0,1,0,0,1,1,129.0675129,35.15884085
14697,0,0,13,0,0,1,1,0,0,0,4,1,129.0675129,35.16484085
14701,0,0,5,0,0,2,0,5,0,0,3,1,129.0675129,35.15284085
14700,0,0,10,0,0,2,0,0,0,0,5,1,129.0675129,35.15584085
14687,0,0,4,0,0,0,1,3,0,1,12,1,129.0675129,35.19484085
14686,0,0,0,1,0,1,1,0,0,0,6,1,129.0675129,35.19784085
14684,0,2,8,1,0,0,0,2,0,0,5,1,129.0675129,35.20384085
15027,0,0,2,0,0,1,0,0,0,1,8,1,129.0747129,35.20684085
15026,0,1,8,1,0,0,1,2,0,0,5,1,129.0747129,35.20984085
15025,0,0,6,0,0,0,1,0,1,0,6,1,129.0747129,35.21284085
15029,0,1,3,0,0,0,1,0,0,0,6,1,129.0747129,35.20084085
15028,0,0,4,0,0,0,0,1,0,0,5,1,129.0747129,35.20384085
15035,0,3,2,0,0,0,0,0,0,2,4,1,129.0747129,35.18284085
6811,0,0,4,0,0,0,0,4,0,0,3,1,128.9019129,35.08684085
6812,0,1,4,2,0,0,1,2,0,0,8,1,128.9019129,35.08384085
14899,0,1,13,1,0,1,1,2,0,2,1,1,129.0711129,35.07484085
14898,0,2,5,0,0,0,0,0,0,3,3,1,129.0711129,35.07784085
14867,0,4,9,0,0,2,3,2,0,0,4,1,129.0711129,35.17084085
14866,1,0,8,0,1,1,1,0,0,3,4,1,129.0711129,35.17384085
14868,0,0,15,0,1,0,1,1,0,0,1,1,129.0711129,35.16784085
14878,0,2,13,0,0,2,0,2,0,4,4,1,129.0711129,35.13784085
