id,CCTV,피시방,버스정류장,공원,교차로,교회,스쿨존,놀이터,옐로카펫,위험지역,학원,target,경도,위도
14342,0,0,8,0,1,0,0,0,0,2,14,1,129.0603129,35.19784085
14341,0,0,10,2,0,0,0,0,0,0,5,1,129.0603129,35.20084085
6639,0,0,9,3,0,0,0,2,0,0,1,1,128.8983129,35.08684085
14704,0,2,5,1,0,0,2,1,0,3,1,1,129.0675129,35.14384085
14697,0,0,13,0,0,1,1,0,0,0,4,1,129.0675129,35.16484085
14702,0,0,8,0,0,0,2,0,1,1,4,1,129.0675129,35.14984085
14701,0,0,5,0,0,2,0,5,0,0,3,1,129.0675129,35.15284085
14700,0,0,10,0,0,2,0,0,0,0,5,1,129.0675129,35.15584085
14687,0,0,4,0,0,0,1,3,0,1,12,1,129.0675129,35.19484085
14686,0,0,0,1,0,1,1,0,0,0,6,1,129.0675129,35.19784085
15027,0,0,2,0,0,1,0,0,0,1,8,1,129.0747129,35.20684085
15026,0,1,8,1,0,0,1,2,0,0,5,1,129.0747129,35.20984085
6812,0,1,4,2,0,0,1,2,0,0,8,1,128.9019129,35.08384085
14867,0,4,9,0,0,2,3,2,0,0,4,1,129.0711129,35.17084085
14853,0,0,9,2,0,1,0,1,0,0,3,1,129.0711129,35.21284085
14859,0,0,10,1,0,2,3,2,0,0,17,1,129.0711129,35.19484085
15203,0,0,6,0,0,1,1,0,0,4,4,1,129.0783129,35.19484085
15200,1,0,14,0,1,0,0,0,0,4,3,1,129.0783129,35.20384085
15207,0,0,6,0,0,0,1,0,0,3,2,1,129.0783129,35.18284085
15210,0,0,11,1,0,0,0,1,0,0,6,1,129.0783129,35.17384085
15208,0,3,6,1,0,1,1,2,0,0,0,1,129.0783129,35.17984085
15198,0,0,14,0,0,0,0,0,0,0,3,1,129.0783129,35.20984085
13517,0,1,9,0,0,0,0,0,0,0,4,1,129.0423129,35.09284085
21723,0,1,14,1,2,0,0,0,0,2,0,1,129.2151129,35.24284085
21722,0,0,7,1,0,0,0,1,0,2,7,1,129.2151129,35.24584085
21721,0,1,12,2,0,0,1,1,0,2,6,1,129.2151129,35.24884085
13335,0,0,5,0,0,0,1,0,0,2,3,1,129.0387129,35.12284085
21553,0,1,3,1,0,0,3,1,0,1,9,1,129.2115129,35.23684085
21891,0,0,10,1,0,0,0,3,0,0,6,1,129.2187129,35.25484085
13677,0,1,4,0,0,1,0,0,0,2,5,1,129.0459129,35.12884085
13676,0,0,8,0,0,0,2,2,0,1,2,1,129.0459129,35.13184085
14007,0,0,3,0,0,0,0,0,0,0,10,1,129.0531129,35.17084085
14170,0,0,2,1,0,1,1,3,0,0,16,1,129.0567129,35.19784085
14169,0,0,10,0,1,0,0,4,0,0,3,1,129.0567129,35.20084085
12467,0,0,9,0,1,0,4,2,0,0,5,1,129.0207129,35.14684085
12479,0,0,4,0,0,0,0,0,0,3,4,1,129.0207129,35.11084085
12483,0,0,7,0,1,0,2,0,0,4,6,1,129.0207129,35.09884085
12306,0,0,8,0,1,1,2,1,0,0,11,1,129.0171129,35.11384085
12294,0,3,3,1,0,0,0,1,0,1,1,1,129.0171129,35.14984085
12293,0,0,9,0,0,0,0,1,0,0,4,1,129.0171129,35.15284085
20491,0,1,8,1,0,0,0,2,0,0,4,1,129.1899129,35.32684085
12790,0,2,6,2,0,0,1,2,0,0,1,1,129.0279129,35.20984085
